Particulars,Frequency,Unit, 3-1993, 3-1994, 3-1995, 3-1996, 3-1997, 3-1998, 3-1999, 3-2000, 3-2001, 3-2002, 3-2003, 3-2004, 3-2005, 3-2006, 3-2007, 3-2008, 3-2009, 3-2010, 3-2011, 3-2012, 3-2013, 3-2014
Agricultural Production Foodgrains Wheat Volume Nagaland,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,17,20,13,1.9,1.3,1.6,2.1,2.4,5,NA,NA,NA
Agricultural Production Foodgrains Wheat Volume Orissa,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,5,4.5,5.8,8.7,7.4,5.8,4,2.7,2.1,NA
Agricultural Production Foodgrains Wheat Volume Punjab,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14489,14698,14493,14596,15720,15733,15169,16472,17280,16110,NA
Agricultural Production Foodgrains Wheat Volume Rajasthan,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5875.8,5706.6,5865.3,7055.8,7124.9,7287,7500.9,7215,9320,8950,NA
Agricultural Production Foodgrains Wheat Volume Sikkim,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,8.9,8.1,8.3,9,9,4.5,7.8,5.9,3,NA,NA,NA
Agricultural Production Foodgrains Wheat Volume Tamil Nadu,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,0,0.1,0,0,0.1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
Agricultural Production Foodgrains Wheat Volume Tripura,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.5,1.8,5.1,2.8,2.9,1.8,NA,1.2,1.3,1.3,NA,NA,NA
Agricultural Production Foodgrains Wheat Volume Union Territories,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,81.1,103.3,72.1,80.5,78.8,79.2,75.5,93.7,111,NA,NA,NA
Agricultural Production Foodgrains Wheat Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25566.7,22513.9,24073.8,25031,25679,28554,27518,30001,30290,30300,NA
Agricultural Production Foodgrains Wheat Volume Uttaranchal,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,745,803,645,801,814,797,845,878,880,840,NA
Agricultural Production Foodgrains Wheat Volume West Bengal,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,985.7,841.5,773.5,799.9,917.3,764.5,846.7,874,870,910,NA
Agricultural Production Foodgrains Wheat Yield Assam,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1043,1066,1074,1117,1268,1090,1087,1179,1147,1188,NA
Agricultural Production Foodgrains Wheat Yield Bihar,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1776,1609,1617,1908,2058,2043,2084,1948,2206,2427,NA
Agricultural Production Foodgrains Wheat Yield Gujarat,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2681,2482,2700,2498,3013,2377,2679,3155,3014,2986,NA
Agricultural Production Foodgrains Wheat Yield Haryana,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3937,3901,3844,4232,4158,4390,4213,4624,5030,4452,NA
Agricultural Production Foodgrains Wheat Yield Himachal Pradesh,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1380,1890,1894,1385,1376,1520,928,1530,1671,1514,NA
Agricultural Production Foodgrains Wheat Yield Jammu and Kashmir,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1804,1910,1790,1893,1782,1735,1003,1535,1689,1404,NA
Agricultural Production Foodgrains Wheat Yield Jharkhand,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552,2381,1340,1529,1621,1541,1738,1642,1908,1716,NA
Agricultural Production Foodgrains Wheat Yield Karnataka,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415,740,858,762,946,918,887,1094,858,735,NA
Agricultural Production Foodgrains Wheat Yield Madhya Pradesh,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1800,1735,1613,1835,1612,1723,1967,1757,2360,2478,NA
Agricultural Production Foodgrains Wheat Yield Maharashtra,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1170,1344,1393,1325,1659,1483,1610,1761,1558,1473,NA
Agricultural Production Foodgrains Wheat Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4207,4221,4179,4210,4507,4462,4307,4693,4898,4573,NA
Agricultural Production Foodgrains Wheat Yield Rajasthan,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2794,2839,2762,2751,2749,3175,3133,2910,3175,3175,NA
Agricultural Production Foodgrains Wheat Yield Uttar Pradesh,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2794,2502,2627,2721,2817,3002,2846,3113,3113,3113,NA
Agricultural Production Foodgrains Wheat Yield Uttaranchal,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1877,2038,1633,2049,2050,2003,2139,2316,2379,2341,NA
Agricultural Production Foodgrains Wheat Yield West Bengal,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2315,2103,2109,2282,2602,2490,2680,2760,2765,2817,NA
Agricultural Production Foodgrains Coarse Cereals Area,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.03,29.04,28.71,28.48,27.45,27.68,28.34,26.42,24.8,25.5
Agricultural Production Foodgrains Coarse Cereals Volume,"Annual, Ending mar Of Each Year",Ton mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.6,33.47,34.07,33.92,40.75,40.04,33.55,43.4,42.01,40.08,NA
Agricultural Production Foodgrains Coarse Cereals Yield,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1153,1172,1182,1431,1459,1212,1531,1590,1626,1672
Agricultural Production Foodgrains Coarse Cereals Area Andhra Pradesh,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,1.37,1.39,1.3,1.28,1.27,1.28,1.14,1.25,1.41,NA
Agricultural Production Foodgrains Coarse Cereals Area Bihar,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,0.66,0.7,0.69,0.69,0.68,0.66,0.69,0.71,0.72,NA
Agricultural Production Foodgrains Coarse Cereals Area Chhattisgarh,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,0.35,0.35,0.33,0.32,0.28,0.27,0.28,0.27,0.26,NA
Agricultural Production Foodgrains Coarse Cereals Area Gujarat,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77,1.6,1.61,1.63,1.57,1.44,1.4,1.55,1.59,1.25,NA
Agricultural Production Foodgrains Coarse Cereals Area Haryana,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,0.71,0.72,0.76,0.77,0.76,0.71,0.78,0.69,0.52,NA
Agricultural Production Foodgrains Coarse Cereals Area Himachal Pradesh,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,0.36,0.33,0.33,0.33,0.33,0.32,0.33,0.32,0.31,NA
Agricultural Production Foodgrains Coarse Cereals Area Jammu and Kashmir,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,0.36,0.35,0.37,0.35,0.36,0.36,0.35,0.35,0.35,NA
Agricultural Production Foodgrains Coarse Cereals Area Jharkhand,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.25,0.22,0.29,0.29,0.26,0.21,0.25,0.23,0.25,NA
Agricultural Production Foodgrains Coarse Cereals Area Karnataka,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66,3.91,3.88,3.41,3.8,3.59,3.71,3.65,3.48,3.59,NA
Agricultural Production Foodgrains Coarse Cereals Area Madhya Pradesh,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.34,2.19,2.04,2.02,1.96,1.89,1.8,1.76,1.77,1.64,NA
Agricultural Production Foodgrains Coarse Cereals Area Maharashtra,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.49,6.95,6.87,6.86,6.32,5.79,6.19,6.17,5.2,4.69,NA
Agricultural Production Foodgrains Coarse Cereals Area Orissa,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.18,0.17,0.16,0.17,0.16,0.17,0.21,0.19,0.18,NA
Agricultural Production Foodgrains Coarse Cereals Area Punjab,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.15,0.14,0.15,NA
Agricultural Production Foodgrains Coarse Cereals Area Rajasthan,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,6.37,6.77,6.82,7.02,7.1,7.23,7.7,6.91,5.98,NA
Agricultural Production Foodgrains Coarse Cereals Area Tamil Nadu,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,0.82,0.74,0.7,0.7,0.72,0.65,0.63,0.64,0.7,NA
Agricultural Production Foodgrains Coarse Cereals Area Uttar Pradesh,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.39,2.15,2.15,2.2,2.1,1.99,1.93,2.06,2.03,2,NA
Agricultural Production Foodgrains Coarse Cereals Area Uttaranchal,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.29,0.27,0.26,0.26,0.27,0.26,0.26,0.25,0.25,NA
Agricultural Production Foodgrains Coarse Cereals Area West Bengal,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.07,0.07,0.11,0.1,0.11,0.11,0.1,0.11,0.12,NA
Agricultural Production Foodgrains Coarse Cereals Area Others,"Annual, Ending mar Of Each Year",ha mn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,0.25,4.13,3.7,0.27,0.26,0.26,0.37,0.29,0.27,NA
Agricultural Production Foodgrains Coarse Cereals Volume Andhra Pradesh,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3498,2771,3862,3001,4274,4716,3318,4348.8,4230,5440,NA
Agricultural Production Foodgrains Coarse Cereals Volume Arunachal Pradesh,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,65.4,69.6,70.4,75.8,75.8,76.4,80.3,84.9,76.8,77.7,NA,NA,NA,NA,NA
Agricultural Production Foodgrains Coarse Cereals Volume Assam,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,17.6,18,17,15.4,17,17,16,17,NA
Agricultural Production Foodgrains Coarse Cereals Volume Bihar,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1513.3,1501.9,1405.5,1759.7,1498.5,1751.3,1508.1,1338.2,1650,2370,NA
Agricultural Production Foodgrains Coarse Cereals Volume Chhattisgarh,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212.9,189.5,159.3,178.3,229.7,184.4,181.8,205.4,210,240,NA
Agricultural Production Foodgrains Coarse Cereals Volume Goa,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,1.9,1.3,1.1,1.1,1.2,1.1,1,0.8,0.7,0.8,NA,NA,NA,NA,NA
Agricultural Production Foodgrains Coarse Cereals Volume Gujarat,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2635.4,1734.5,1836,1516,2151,1976,1600,1755.2,2230,2070,NA
Agricultural Production Foodgrains Coarse Cereals Volume Haryana,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1146,882,813,1197,1357,1329.4,1132,1369,1390,1000,NA
Agricultural Production Foodgrains Coarse Cereals Volume Himachal Pradesh,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,771.8,788.2,570.7,728.2,896.2,712.1,563.5,713.5,750,670,NA
Agricultural Production Foodgrains Coarse Cereals Volume Jammu and Kashmir,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552.7,517.3,467.7,512.3,499.5,660.4,513.3,550.7,530,540,NA
Agricultural Production Foodgrains Coarse Cereals Volume Jharkhand,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342,324.1,259.6,332,386.4,333.9,216.9,268.2,330,410,NA
Agricultural Production Foodgrains Coarse Cereals Volume Karnataka,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3346.4,5977,6564,5055,6943,6254,5895,7501,6810,6150,NA
Agricultural Production Foodgrains Coarse Cereals Volume Kerala,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.9,1.5,1.1,2.8,1.7,0.9,0.7,0.6,0.3,NA
Agricultural Production Foodgrains Coarse Cereals Volume Madhya Pradesh,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3353.8,2330,2348.4,1849.6,2122.5,2149.9,2041.2,2166.3,2470,2530,NA
Agricultural Production Foodgrains Coarse Cereals Volume Maharashtra,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4750,5696.7,6087,6141,7093,5971.6,6293.3,6959,6120,4360,NA
Agricultural Production Foodgrains Coarse Cereals Volume Manipur,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,10.7,10.9,10.1,8.5,7.5,8.9,7.9,7.9,8.4,11.5,NA,NA,NA,NA,NA
Agricultural Production Foodgrains Coarse Cereals Volume Meghalaya,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,26.4,26.6,27.4,28.2,28.1,26.3,26.4,27.2,27.4,27.8,NA,NA,NA,NA,NA
Agricultural Production Foodgrains Coarse Cereals Volume Mizoram,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,9.9,16.4,16.7,14.9,20.3,15.7,22.7,21,0.7,9.3,NA,NA,NA,NA,NA
Agricultural Production Foodgrains Coarse Cereals Volume Nagaland,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,52.1,61.6,73.4,118,108.3,105.5,120.1,126.4,139.4,127.3,NA,NA,NA,NA,NA
Agricultural Production Foodgrains Coarse Cereals Volume Orissa,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,169.1,159.9,162.4,210.4,191.7,230.4,364,260,290,NA
Agricultural Production Foodgrains Coarse Cereals Volume Punjab,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545,504,472,552,583.1,575.1,527.1,540,550,530,NA
Agricultural Production Foodgrains Coarse Cereals Volume Rajasthan,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9674.8,4956.4,4528.6,5501.9,7121.4,7325.7,3907.2,7995.5,7460,6910,NA
Agricultural Production Foodgrains Coarse Cereals Volume Sikkim,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,60.8,66.5,61,59.9,63.8,67.4,63.7,63.7,72.6,66.2,NA,NA,NA,NA,NA
Agricultural Production Foodgrains Coarse Cereals Volume Tamil Nadu,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,983,868,730.2,1361.9,1357.1,1755.1,1642,1878.2,2320,1650,NA
Agricultural Production Foodgrains Coarse Cereals Volume Tripura,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,1,1.6,2.1,2.2,2.2,3,2.2,2.4,2.1,2,NA,NA,NA,NA,NA
Agricultural Production Foodgrains Coarse Cereals Volume Union Territories,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,3.2,8.2,12.6,10.7,13,20,17.5,17.8,16,19,NA,NA,NA,NA,NA
Agricultural Production Foodgrains Coarse Cereals Volume Uttar Pradesh,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3260.7,3391.8,2971.2,3084.4,3058.9,3080.2,2968.8,3216.6,3570,3690,NA
Agricultural Production Foodgrains Coarse Cereals Volume Uttaranchal,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,381,358,323,344,339,347,297,334,330,340,NA
Agricultural Production Foodgrains Coarse Cereals Volume West Bengal,"Annual, Ending mar Of Each Year",Ton th,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,162,150.3,274.7,265.8,365.4,404,407.9,380,630,NA
Agricultural Production Foodgrains Coarse Cereals Yield Andhra Pradesh,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2139,2026,2772,2305,3336,3713,2586,3895,3384,3858,NA
Agricultural Production Foodgrains Coarse Cereals Yield Bihar,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2275,2293,2021,2555,2185,2577,2277,2145,2324,3292,NA
Agricultural Production Foodgrains Coarse Cereals Yield Chhattisgarh,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,618,535,460,537,712,657,669,821,778,923,NA
Agricultural Production Foodgrains Coarse Cereals Yield Gujarat,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1492,1083,1142,928,1373,1371,1140,1355,1403,1656,NA
Agricultural Production Foodgrains Coarse Cereals Yield Haryana,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1494,1249,1124,1567,1762,1760,1592,1756,2014,1923,NA
Agricultural Production Foodgrains Coarse Cereals Yield Himachal Pradesh,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2298,2170,1715,2180,2689,2166,1737,2121,2344,2161,NA
Agricultural Production Foodgrains Coarse Cereals Yield Jammu and Kashmir,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1557,1437,1344,1396,1440,1819,1438,1571,1514,1543,NA
Agricultural Production Foodgrains Coarse Cereals Yield Jharkhand,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1390,1291,1165,1126,1349,1266,1043,1120,1435,1640,NA
Agricultural Production Foodgrains Coarse Cereals Yield Karnataka,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,943,1530,1693,1481,1829,1742,1591,2151,1957,1713,NA
Agricultural Production Foodgrains Coarse Cereals Yield Madhya Pradesh,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1446,1062,1150,918,1082,1140,1136,1233,1395,1543,NA
Agricultural Production Foodgrains Coarse Cereals Yield Maharashtra,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,797,820,887,895,1122,1031,1017,1186,1177,930,NA
Agricultural Production Foodgrains Coarse Cereals Yield Orissa,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,856,933,968,1025,1219,1180,1357,1714,1368,1611,NA
Agricultural Production Foodgrains Coarse Cereals Yield Punjab,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2904,2714,2697,3033,3311,3284,3315,3600,3929,3533,NA
Agricultural Production Foodgrains Coarse Cereals Yield Rajasthan,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1224,778,669,807,1015,1031,541,1051,1080,1156,NA
Agricultural Production Foodgrains Coarse Cereals Yield Tamil Nadu,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1095,1054,985,1951,1943,2424,2516,2476,3625,2357,NA
Agricultural Production Foodgrains Coarse Cereals Yield Uttar Pradesh,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1366,1577,1383,1404,1454,1550,1541,1563,1759,1845,NA
Agricultural Production Foodgrains Coarse Cereals Yield Uttaranchal,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1274,1222,1188,1318,1319,1280,1160,1328,1320,1360,NA
Agricultural Production Foodgrains Coarse Cereals Yield West Bengal,"Annual, Ending mar Of Each Year",kg/ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1905,2443,2132,2589,2729,3319,3531,3700,3455,5250,NA
